"orig_index","cc_num","merchant","category","amt","lat","long","city_pop","unix_time","trans_date_trans_time","is_fraud","card_7d_tx_count","card_30d_tx_count","card_7d_amt_sum","merch_7d_tx_count","merch_30d_tx_count","merch_amt_sum_day","node_degree_card","node_degree_merchant","node_comp_size","node_pagerank_card","node_pagerank_merch","node_eig_card","node_eig_merch","node_clust_card","node_clust_merch","node_core_card","node_core_merch","node_neighbor_fraud_card","node_neighbor_fraud_merch"
"554","4000000000000554","fraud_Haley Ltd","grocery_pos","211.34","41.8781","-87.6298","2746000","1704348360","2024-01-04 06:06:00","0","6","14","1271.18","7","23","1496.38","3","3","8","0.1680","0.1485","0.2600","0.4600","0.20","0.30","3","1","0.40","0.10"
"555","4000000000000555","fraud_McDermott PLC","personal_care","211.88","29.7604","-95.3698","2328000","1704348900","2024-01-04 06:15:00","0","7","16","1489.44","2","5","423.76","4","5","11","0.1700","0.1634","0.2700","0.0400","0.00","0.00","1","2","0.00","0.20"
"556","4000000000000556","fraud_Lynch-Wisozk","grocery_pos","212.42","39.9526","-75.1652","1600000","1704349440","2024-01-04 06:24:00","0","8","18","1708.78","5","13","1066.35","5","7","14","0.1720","0.1783","0.2800","0.0900","0.10","0.10","2","3","0.10","0.30"
"557","4000000000000557","fraud_Huels-Nolan","personal_care","212.96","33.4484","-112.0740","1625000","1704349980","2024-01-04 06:33:00","0","9","20","1929.20","8","21","1712.18","6","2","17","0.1740","0.1932","0.2900","0.1400","0.20","0.20","3","1","0.20","0.40"
"558","4000000000000558","fraud_Schmeler Inc","grocery_pos","213.50","32.7767","-96.7970","1304000","1704350520","2024-01-04 06:42:00","0","1","13","229.20","3","3","653.25","1","4","2","0.1760","0.2081","0.3000","0.1900","0.00","0.30","1","2","0.30","0.00"
"559","4000000000000559","fraud_Heathcote LLC","personal_care","211.83","47.6062","-122.3321","737000","1704351060","2024-01-04 06:51:00","0","2","15","442.50","6","11","1287.98","2","6","5","0.1780","0.2230","0.3100","0.2400","0.10","0.00","2","3","0.40","0.10"
"560","4000000000000560","fraud_Kilback LLC","grocery_pos","212.37","40.7128","-74.0060","8419000","1704351600","2024-01-04 07:00:00","0","3","17","637.11","1","11","212.37","3","1","8","0.1800","0.0485","0.3200","0.2900","0.20","0.10","3","1","0.00","0.20"
"561","4000000000000561","fraud_Ruecker Group","misc_net","212.91","34.0522","-118.2437","3980000","1704352140","2024-01-04 07:09:00","1","4","19","854.78","4","19","855.89","4","3","11","0.1820","0.0634","0.3300","0.3400","0.00","0.20","1","2","0.10","0.30"
"562","4000000000000562","fraud_Stokes and Sons","shopping_net","213.45","41.8781","-87.6298","2746000","1704352680","2024-01-04 07:18:00","0","5","21","1073.53","7","9","1502.65","5","5","14","0.1840","0.0783","0.3400","0.3900","0.10","0.30","2","3","0.20","0.40"
"563","4000000000000563","fraud_Bahringer Group","misc_net","213.99","29.7604","-95.3698","2328000","1704353220","2024-01-04 07:27:00","0","6","23","1293.36","2","9","440.73","6","7","17","0.1860","0.0932","0.3500","0.4400","0.20","0.00","3","1","0.30","0.00"
"564","4000000000000564","fraud_Haley Ltd","shopping_net","214.53","39.9526","-75.1652","1600000","1704353760","2024-01-04 07:36:00","0","7","25","1514.27","5","17","1089.65","1","2","2","0.1880","0.1081","0.3600","0.0200","0.00","0.10","1","2","0.40","0.10"
"565","4000000000000565","fraud_McDermott PLC","misc_net","215.07","33.4484","-112.0740","1625000","1704354300","2024-01-04 07:45:00","0","8","27","1736.26","8","25","1720.56","2","4","5","0.1900","0.1230","0.3700","0.0700","0.10","0.20","2","3","0.00","0.20"
"566","4000000000000566","fraud_Lynch-Wisozk","shopping_net","215.61","32.7767","-96.7970","1304000","1704354840","2024-01-04 07:54:00","0","9","29","1959.33","3","7","651.08","3","6","8","0.1920","0.1379","0.3800","0.1200","0.20","0.30","3","1","0.10","0.30"
"567","4000000000000567","fraud_Huels-Nolan","misc_net","216.15","47.6062","-122.3321","737000","1704355380","2024-01-04 08:03:00","0","1","1","216.15","6","15","1305.40","4","1","11","0.1940","0.1528","0.3900","0.1700","0.00","0.00","1","2","0.20","0.40"
"568","4000000000000568","fraud_Schmeler Inc","shopping_net","216.69","40.7128","-74.0060","8419000","1704355920","2024-01-04 08:12:00","0","2","3","436.52","1","15","229.44","5","3","14","0.1960","0.1677","0.4000","0.2200","0.10","0.10","2","3","0.30","0.00"
"569","4000000000000569","fraud_Heathcote LLC","misc_net","217.23","34.0522","-118.2437","3980000","1704356460","2024-01-04 08:21:00","0","3","5","657.97","4","5","885.92","6","5","17","0.1980","0.1826","0.4100","0.2700","0.20","0.20","3","1","0.40","0.10"
"570","4000000000000570","fraud_Kilback LLC","shopping_net","217.77","41.8781","-87.6298","2746000","1704357000","2024-01-04 08:30:00","0","4","7","880.50","7","13","1524.39","1","7","2","0.2000","0.1974","0.4200","0.3200","0.00","0.30","1","2","0.00","0.20"
"571","4000000000000571","fraud_Ruecker Group","misc_net","218.31","29.7604","-95.3698","2328000","1704357540","2024-01-04 08:39:00","0","5","9","1104.11","2","13","440.87","2","2","5","0.2020","0.2123","0.4300","0.3700","0.10","0.00","2","3","0.10","0.30"
"572","4000000000000572","fraud_Stokes and Sons","gas_transport","216.64","39.9526","-75.1652","1600000","1704358080","2024-01-04 08:48:00","0","6","11","1315.54","5","21","1091.70","3","4","8","0.2040","0.2272","0.4400","0.4200","0.20","0.10","3","1","0.20","0.40"
"573","4000000000000573","fraud_Bahringer Group","food_dining","217.18","33.4484","-112.0740","1625000","1704358620","2024-01-04 08:57:00","0","7","13","1539.10","8","11","1750.19","4","6","11","0.2060","0.0528","0.4500","0.4700","0.00","0.20","1","2","0.30","0.00"
"574","4000000000000574","fraud_Haley Ltd","gas_transport","217.72","32.7767","-96.7970","1304000","1704359160","2024-01-04 09:06:00","0","8","15","1741.76","3","11","670.16","5","1","14","0.2080","0.0677","0.4600","0.0500","0.10","0.30","2","3","0.40","0.10"
"575","4000000000000575","fraud_McDermott PLC","food_dining","218.26","47.6062","-122.3321","737000","1704359700","2024-01-04 09:15:00","0","9","17","1967.48","6","19","1309.56","6","3","17","0.2100","0.0826","0.4700","0.1000","0.20","0.00","3","1","0.00","0.20"
"576","4000000000000576","fraud_Lynch-Wisozk","gas_transport","218.80","40.7128","-74.0060","8419000","1704360240","2024-01-04 09:24:00","0","1","10","225.08","1","1","223.05","1","5","2","0.2120","0.0974","0.4800","0.1500","0.00","0.10","1","2","0.10","0.30"
"577","4000000000000577","fraud_Huels-Nolan","food_dining","219.34","34.0522","-118.2437","3980000","1704360780","2024-01-04 09:33:00","0","2","12","448.10","4","9","885.86","2","7","5","0.2140","0.1123","0.4900","0.2000","0.10","0.20","2","3","0.20","0.40"
"578","4000000000000578","fraud_Schmeler Inc","gas_transport","219.88","41.8781","-87.6298","2746000","1704361320","2024-01-04 09:42:00","1","3","14","672.20","7","17","1551.91","3","2","8","0.2160","0.1272","0.5000","0.2500","0.20","0.30","3","1","0.30","0.00"
"579","4000000000000579","fraud_Heathcote LLC","food_dining","220.42","29.7604","-95.3698","2328000","1704361860","2024-01-04 09:51:00","0","4","16","897.38","2","17","457.84","4","4","11","0.2180","0.1421","0.5100","0.3000","0.00","0.00","1","2","0.40","0.10"
"580","4000000000000580","fraud_Kilback LLC","gas_transport","220.96","39.9526","-75.1652","1600000","1704362400","2024-01-04 10:00:00","0","5","18","1123.64","5","7","1104.80","5","6","14","0.2200","0.1570","0.5200","0.3500","0.10","0.10","2","3","0.00","0.20"
"581","4000000000000581","fraud_Ruecker Group","food_dining","221.50","33.4484","-112.0740","1625000","1704362940","2024-01-04 10:09:00","0","6","20","1329.00","8","15","1776.25","6","1","17","0.2220","0.1719","0.5300","0.4000","0.20","0.20","3","1","0.10","0.30"
"582","4000000000000582","fraud_Stokes and Sons","gas_transport","222.04","32.7767","-96.7970","1304000","1704363480","2024-01-04 10:18:00","0","7","22","1557.42","3","15","674.62","1","3","2","0.0300","0.1868","0.5400","0.4500","0.00","0.30","1","2","0.20","0.40"
"583","4000000000000583","fraud_Bahringer Group","travel","222.58","47.6062","-122.3321","737000","1704364020","2024-01-04 10:27:00","0","8","24","1786.92","6","23","1348.23","2","5","5","0.0320","0.2017","0.0200","0.0300","0.10","0.00","2","3","0.30","0.00"
"584","4000000000000584","fraud_Haley Ltd","entertainment","223.12","40.7128","-74.0060","8419000","1704364560","2024-01-04 10:36:00","0","9","26","2017.50","1","5","240.12","3","7","8","0.0340","0.2166","0.0300","0.0800","0.20","0.10","3","1","0.40","0.10"
"585","4000000000000585","fraud_McDermott PLC","travel","221.45","34.0522","-118.2437","3980000","1704365100","2024-01-04 10:45:00","0","1","19","234.01","4","13","885.80","4","2","11","0.0360","0.0421","0.0400","0.1300","0.00","0.20","1","2","0.00","0.20"
"586","4000000000000586","fraud_Lynch-Wisozk","entertainment","221.99","41.8781","-87.6298","2746000","1704365640","2024-01-04 10:54:00","0","2","21","459.68","7","21","1558.18","5","4","14","0.0380","0.0570","0.0500","0.1800","0.10","0.30","2","3","0.10","0.30"
"587","4000000000000587","fraud_Huels-Nolan","travel","222.53","29.7604","-95.3698","2328000","1704366180","2024-01-04 11:03:00","0","3","23","686.43","2","3","453.56","6","6","17","0.0400","0.0719","0.0600","0.2300","0.20","0.00","3","1","0.20","0.40"
"588","4000000000000588","fraud_Schmeler Inc","entertainment","223.07","39.9526","-75.1652","1600000","1704366720","2024-01-04 11:12:00","0","4","4","892.28","5","11","1128.10","1","1","2","0.0420","0.0868","0.0700","0.2800","0.00","0.10","1","2","0.30","0.00"
"589","4000000000000589","fraud_Heathcote LLC","travel","223.61","33.4484","-112.0740","1625000","1704367260","2024-01-04 11:21:00","0","5","6","1121.19","8","19","1805.88","2","3","5","0.0440","0.1017","0.0800","0.3300","0.10","0.20","2","3","0.40","0.10"
"590","4000000000000590","fraud_Kilback LLC","entertainment","224.15","32.7767","-96.7970","1304000","1704367800","2024-01-04 11:30:00","0","6","8","1351.18","3","19","672.45","3","5","8","0.0460","0.1166","0.0900","0.3800","0.20","0.30","3","1","0.00","0.20"
"591","4000000000000591","fraud_Ruecker Group","travel","224.69","47.6062","-122.3321","737000","1704368340","2024-01-04 11:39:00","0","7","10","1582.25","6","9","1352.39","4","7","11","0.0480","0.1315","0.1000","0.4300","0.00","0.00","1","2","0.10","0.30"
"592","4000000000000592","fraud_Stokes and Sons","entertainment","225.23","40.7128","-74.0060","8419000","1704368880","2024-01-04 11:48:00","0","8","12","1814.40","1","9","233.73","5","2","14","0.0500","0.1464","0.1100","0.4800","0.10","0.10","2","3","0.20","0.40"
"593","4000000000000593","fraud_Bahringer Group","travel","225.77","34.0522","-118.2437","3980000","1704369420","2024-01-04 11:57:00","0","9","14","2047.63","4","17","915.83","6","4","17","0.0520","0.1613","0.1200","0.0600","0.20","0.20","3","1","0.30","0.00"
"594","4000000000000594","fraud_Haley Ltd","home","226.31","41.8781","-87.6298","2746000","1704369960","2024-01-04 12:06:00","0","1","7","245.15","7","7","1601.17","1","6","2","0.0540","0.1762","0.1300","0.1100","0.00","0.30","1","2","0.40","0.10"
"595","4000000000000595","fraud_McDermott PLC","health_fitness","226.85","29.7604","-95.3698","2328000","1704370500","2024-01-04 12:15:00","1","2","9","453.70","2","7","453.70","2","1","5","0.0560","0.1911","0.1400","0.1600","0.10","0.00","2","3","0.00","0.20"
"596","4000000000000596","fraud_Lynch-Wisozk","home","227.39","39.9526","-75.1652","1600000","1704371040","2024-01-04 12:24:00","0","3","11","685.31","5","15","1141.20","3","3","8","0.0580","0.2060","0.1500","0.2100","0.20","0.10","3","1","0.10","0.30"
"597","4000000000000597","fraud_Huels-Nolan","health_fitness","227.93","33.4484","-112.0740","1625000","1704371580","2024-01-04 12:33:00","0","4","13","918.00","8","23","1831.94","4","5","11","0.0600","0.2209","0.1600","0.2600","0.00","0.20","1","2","0.20","0.40"
"598","4000000000000598","fraud_Schmeler Inc","home","226.26","32.7767","-96.7970","1304000","1704372120","2024-01-04 12:42:00","0","5","15","1140.72","3","5","691.53","5","7","14","0.0620","0.0464","0.1700","0.3100","0.10","0.30","2","3","0.30","0.00"
"599","4000000000000599","fraud_Heathcote LLC","health_fitness","226.80","47.6062","-122.3321","737000","1704372660","2024-01-04 12:51:00","0","6","17","1373.36","6","13","1377.80","6","2","17","0.0640","0.0613","0.1800","0.3600","0.20","0.00","3","1","0.40","0.10"
"600","4000000000000600","fraud_Kilback LLC","home","227.34","40.7128","-74.0060","8419000","1704373200","2024-01-04 13:00:00","0","7","19","1607.08","1","13","227.34","1","4","2","0.0660","0.0762","0.1900","0.4100","0.00","0.10","1","2","0.00","0.20"
"601","4000000000000601","fraud_Ruecker Group","health_fitness","227.88","34.0522","-118.2437","3980000","1704373740","2024-01-04 13:09:00","0","8","21","1841.88","4","21","915.77","2","6","5","0.0680","0.0911","0.2000","0.4600","0.10","0.20","2","3","0.10","0.30"
"602","4000000000000602","fraud_Stokes and Sons","home","228.42","41.8781","-87.6298","2746000","1704374280","2024-01-04 13:18:00","0","9","23","2055.78","7","11","1607.44","3","1","8","0.0700","0.1060","0.2100","0.0400","0.20","0.30","3","1","0.20","0.40"
"603","4000000000000603","fraud_Bahringer Group","health_fitness","228.96","29.7604","-95.3698","2328000","1704374820","2024-01-04 13:27:00","0","1","16","232.10","2","11","470.67","4","3","11","0.0720","0.1209","0.2200","0.0900","0.00","0.00","1","2","0.30","0.00"
"604","4000000000000604","fraud_Haley Ltd","home","229.50","39.9526","-75.1652","1600000","1704375360","2024-01-04 13:36:00","0","2","18","465.28","5","19","1164.50","5","5","14","0.0740","0.1357","0.2300","0.1400","0.10","0.10","2","3","0.40","0.10"
"605","4000000000000605","fraud_McDermott PLC","grocery_pos","230.04","33.4484","-112.0740","1625000","1704375900","2024-01-04 13:45:00","0","3","20","699.54","8","9","1840.32","6","7","17","0.0760","0.1506","0.2400","0.1900","0.20","0.20","3","1","0.00","0.20"
"606","4000000000000606","fraud_Lynch-Wisozk","personal_care","230.58","32.7767","-96.7970","1304000","1704376440","2024-01-04 13:54:00","0","4","22","934.88","3","9","695.99","1","2","2","0.0780","0.1655","0.2500","0.2400","0.00","0.30","1","2","0.10","0.30"
"607","4000000000000607","fraud_Huels-Nolan","grocery_pos","231.12","47.6062","-122.3321","737000","1704376980","2024-01-04 14:03:00","0","5","24","1171.30","6","17","1395.22","2","4","5","0.0800","0.1804","0.2600","0.2900","0.10","0.00","2","3","0.20","0.40"
"608","4000000000000608","fraud_Schmeler Inc","personal_care","231.66","40.7128","-74.0060","8419000","1704377520","2024-01-04 14:12:00","0","6","26","1408.80","1","17","244.41","3","6","8","0.0820","0.1953","0.2700","0.3400","0.20","0.10","3","1","0.30","0.00"
"609","4000000000000609","fraud_Heathcote LLC","grocery_pos","232.20","34.0522","-118.2437","3980000","1704378060","2024-01-04 14:21:00","0","7","7","1625.40","4","7","945.80","4","1","11","0.0840","0.2102","0.2800","0.3900","0.00","0.20","1","2","0.40","0.10"
"610","4000000000000610","fraud_Kilback LLC","personal_care","232.74","41.8781","-87.6298","2746000","1704378600","2024-01-04 14:30:00","0","8","9","1865.06","7","15","1629.18","5","3","14","0.0860","0.2251","0.2900","0.4400","0.10","0.30","2","3","0.00","0.20"
"611","4000000000000611","fraud_Ruecker Group","grocery_pos","231.07","29.7604","-95.3698","2328000","1704379140","2024-01-04 14:39:00","0","9","11","2085.91","2","15","466.39","6","5","17","0.0880","0.0506","0.3000","0.0200","0.20","0.00","3","1","0.10","0.30"
"612","4000000000000612","fraud_Stokes and Sons","personal_care","231.61","39.9526","-75.1652","1600000","1704379680","2024-01-04 14:48:00","1","1","4","241.03","5","5","1166.55","1","7","2","0.0900","0.0655","0.3100","0.0700","0.00","0.10","1","2","0.20","0.40"
"613","4000000000000613","fraud_Bahringer Group","grocery_pos","232.15","33.4484","-112.0740","1625000","1704380220","2024-01-04 14:57:00","0","2","6","476.86","8","13","1869.95","2","2","5","0.0920","0.0804","0.3200","0.1200","0.10","0.20","2","3","0.30","0.00"
"614","4000000000000614","fraud_Haley Ltd","personal_care","232.69","32.7767","-96.7970","1304000","1704380760","2024-01-04 15:06:00","0","3","8","713.77","3","13","715.07","3","4","8","0.0940","0.0953","0.3300","0.1700","0.20","0.30","3","1","0.40","0.10"
"615","4000000000000615","fraud_McDermott PLC","grocery_pos","233.23","47.6062","-122.3321","737000","1704381300","2024-01-04 15:15:00","0","4","10","951.76","6","21","1399.38","4","6","11","0.0960","0.1102","0.3400","0.2200","0.00","0.00","1","2","0.00","0.20"
"616","4000000000000616","fraud_Lynch-Wisozk","misc_net","233.77","40.7128","-74.0060","8419000","1704381840","2024-01-04 15:24:00","0","5","12","1168.85","1","3","238.02","5","1","14","0.0980","0.1251","0.3500","0.2700","0.10","0.10","2","3","0.10","0.30"
"617","4000000000000617","fraud_Huels-Nolan","shopping_net","234.31","34.0522","-118.2437","3980000","1704382380","2024-01-04 15:33:00","0","6","14","1409.00","4","11","945.74","6","3","17","0.1000","0.1400","0.3600","0.3200","0.20","0.20","3","1","0.20","0.40"
"618","4000000000000618","fraud_Schmeler Inc","misc_net","234.85","41.8781","-87.6298","2746000","1704382920","2024-01-04 15:42:00","0","7","16","1650.23","7","19","1656.70","1","5","2","0.1020","0.1549","0.3700","0.3700","0.00","0.30","1","2","0.30","0.00"
"619","4000000000000619","fraud_Heathcote LLC","shopping_net","235.39","29.7604","-95.3698","2328000","1704383460","2024-01-04 15:51:00","0","8","18","1892.54","2","19","487.78","2","7","5","0.1040","0.1698","0.3800","0.4200","0.10","0.00","2","3","0.40","0.10"
"620","4000000000000620","fraud_Kilback LLC","misc_net","235.93","39.9526","-75.1652","1600000","1704384000","2024-01-04 16:00:00","0","9","20","2135.93","5","9","1179.65","3","2","8","0.1060","0.1847","0.3900","0.4700","0.20","0.10","3","1","0.00","0.20"
"621","4000000000000621","fraud_Ruecker Group","shopping_net","236.47","33.4484","-112.0740","1625000","1704384540","2024-01-04 16:09:00","0","1","13","252.17","8","17","1896.01","4","4","11","0.1080","0.1996","0.4000","0.0500","0.00","0.20","1","2","0.10","0.30"
"622","4000000000000622","fraud_Stokes and Sons","misc_net","237.01","32.7767","-96.7970","1304000","1704385080","2024-01-04 16:18:00","0","2","15","492.86","3","17","719.53","5","6","14","0.1100","0.2145","0.4100","0.1000","0.10","0.30","2","3","0.20","0.40"
"623","4000000000000623","fraud_Bahringer Group","shopping_net","237.55","47.6062","-122.3321","737000","1704385620","2024-01-04 16:27:00","0","3","17","712.65","6","7","1438.05","6","1","17","0.1120","0.0400","0.4200","0.1500","0.20","0.00","3","1","0.30","0.00"
"624","4000000000000624","fraud_Haley Ltd","misc_net","235.88","40.7128","-74.0060","8419000","1704386160","2024-01-04 16:36:00","0","4","19","946.66","1","7","252.88","1","3","2","0.1140","0.0549","0.4300","0.2000","0.00","0.10","1","2","0.40","0.10"
"625","4000000000000625","fraud_McDermott PLC","shopping_net","236.42","34.0522","-118.2437","3980000","1704386700","2024-01-04 16:45:00","0","5","21","1188.38","4","15","945.68","2","5","5","0.1160","0.0698","0.4400","0.2500","0.10","0.20","2","3","0.00","0.20"
"626","4000000000000626","fraud_Lynch-Wisozk","misc_net","236.96","41.8781","-87.6298","2746000","1704387240","2024-01-04 16:54:00","0","6","23","1431.18","7","23","1662.97","3","7","8","0.1180","0.0847","0.4500","0.3000","0.20","0.30","3","1","0.10","0.30"
"627","4000000000000627","fraud_Huels-Nolan","gas_transport","237.50","29.7604","-95.3698","2328000","1704387780","2024-01-04 17:03:00","0","7","25","1675.06","2","5","483.50","4","2","11","0.1200","0.0996","0.4600","0.3500","0.00","0.00","1","2","0.20","0.40"
"628","4000000000000628","fraud_Schmeler Inc","food_dining","238.04","39.9526","-75.1652","1600000","1704388320","2024-01-04 17:12:00","0","8","27","1920.02","5","13","1202.95","5","4","14","0.1220","0.1145","0.4700","0.4000","0.10","0.10","2","3","0.30","0.00"
"629","4000000000000629","fraud_Heathcote LLC","gas_transport","238.58","33.4484","-112.0740","1625000","1704388860","2024-01-04 17:21:00","1","9","29","2166.06","8","21","1925.64","6","6","17","0.1240","0.1294","0.4800","0.4500","0.20","0.20","3","1","0.40","0.10"
"630","4000000000000630","fraud_Kilback LLC","food_dining","239.12","32.7767","-96.7970","1304000","1704389400","2024-01-04 17:30:00","0","1","1","239.12","3","3","717.36","1","1","2","0.1260","0.1443","0.4900","0.0300","0.00","0.30","1","2","0.00","0.20"
"631","4000000000000631","fraud_Ruecker Group","gas_transport","239.66","47.6062","-122.3321","737000","1704389940","2024-01-04 17:39:00","0","2","3","482.46","6","11","1442.21","2","3","5","0.1280","0.1591","0.5000","0.0800","0.10","0.00","2","3","0.10","0.30"
"632","4000000000000632","fraud_Stokes and Sons","food_dining","240.20","40.7128","-74.0060","8419000","1704390480","2024-01-04 17:48:00","0","3","5","726.88","1","11","248.70","3","5","8","0.1300","0.1740","0.5100","0.1300","0.20","0.10","3","1","0.20","0.40"
"633","4000000000000633","fraud_Bahringer Group","gas_transport","240.74","34.0522","-118.2437","3980000","1704391020","2024-01-04 17:57:00","0","4","7","972.38","4","19","975.71","4","7","11","0.1320","0.1889","0.5200","0.1800","0.00","0.20","1","2","0.30","0.00"
"634","4000000000000634","fraud_Haley Ltd","food_dining","241.28","41.8781","-87.6298","2746000","1704391560","2024-01-04 18:06:00","0","5","9","1218.96","7","9","1705.96","5","2","14","0.1340","0.2038","0.5300","0.2300","0.10","0.30","2","3","0.40","0.10"
"635","4000000000000635","fraud_McDermott PLC","gas_transport","241.82","29.7604","-95.3698","2328000","1704392100","2024-01-04 18:15:00","0","6","11","1466.62","2","9","483.64","6","4","17","0.1360","0.2187","0.5400","0.2800","0.20","0.00","3","1","0.00","0.20"
"636","4000000000000636","fraud_Lynch-Wisozk","food_dining","242.36","39.9526","-75.1652","1600000","1704392640","2024-01-04 18:24:00","0","7","13","1715.36","5","17","1216.05","1","6","2","0.1380","0.0443","0.0200","0.3300","0.00","0.10","1","2","0.10","0.30"
"637","4000000000000637","fraud_Huels-Nolan","gas_transport","240.69","33.4484","-112.0740","1625000","1704393180","2024-01-04 18:33:00","0","8","15","1925.52","8","25","1934.02","2","1","5","0.1400","0.0591","0.0300","0.3800","0.10","0.20","2","3","0.20","0.40"
"638","4000000000000638","fraud_Schmeler Inc","travel","241.23","32.7767","-96.7970","1304000","1704393720","2024-01-04 18:42:00","0","9","17","2174.21","3","7","736.44","3","3","8","0.1420","0.0740","0.0400","0.4300","0.20","0.30","3","1","0.30","0.00"
"639","4000000000000639","fraud_Heathcote LLC","entertainment","241.77","47.6062","-122.3321","737000","1704394260","2024-01-04 18:51:00","0","1","10","248.05","6","15","1467.62","4","5","11","0.1440","0.0889","0.0500","0.4800","0.00","0.00","1","2","0.40","0.10"
"640","4000000000000640","fraud_Kilback LLC","travel","242.31","40.7128","-74.0060","8419000","1704394800","2024-01-04 19:00:00","0","2","12","494.04","1","15","242.31","5","7","14","0.1460","0.1038","0.0600","0.0600","0.10","0.10","2","3","0.00","0.20"
"641","4000000000000641","fraud_Ruecker Group","entertainment","242.85","34.0522","-118.2437","3980000","1704395340","2024-01-04 19:09:00","0","3","14","741.11","4","5","975.65","6","2","17","0.1480","0.1187","0.0700","0.1100","0.20","0.20","3","1","0.10","0.30"
"642","4000000000000642","fraud_Stokes and Sons","travel","243.39","41.8781","-87.6298","2746000","1704395880","2024-01-04 19:18:00","0","4","16","989.26","7","13","1712.23","1","4","2","0.1500","0.1336","0.0800","0.1600","0.00","0.30","1","2","0.20","0.40"
"643","4000000000000643","fraud_Bahringer Group","entertainment","243.93","29.7604","-95.3698","2328000","1704396420","2024-01-04 19:27:00","0","5","18","1238.49","2","13","500.61","2","6","5","0.1520","0.1485","0.0900","0.2100","0.10","0.00","2","3","0.30","0.00"
"644","4000000000000644","fraud_Haley Ltd","travel","244.47","39.9526","-75.1652","1600000","1704396960","2024-01-04 19:36:00","0","6","20","1466.82","5","21","1239.35","3","1","8","0.1540","0.1634","0.1000","0.2600","0.20","0.10","3","1","0.40","0.10"
"645","4000000000000645","fraud_McDermott PLC","entertainment","245.01","33.4484","-112.0740","1625000","1704397500","2024-01-04 19:45:00","0","7","22","1718.21","8","11","1960.08","4","3","11","0.1560","0.1783","0.1100","0.3100","0.00","0.20","1","2","0.00","0.20"
"646","4000000000000646","fraud_Lynch-Wisozk","travel","245.55","32.7767","-96.7970","1304000","1704398040","2024-01-04 19:54:00","1","8","24","1970.68","3","11","740.90","5","5","14","0.1580","0.1932","0.1200","0.3600","0.10","0.30","2","3","0.10","0.30"
"647","4000000000000647","fraud_Huels-Nolan","entertainment","246.09","47.6062","-122.3321","737000","1704398580","2024-01-04 20:03:00","0","9","26","2224.23","6","19","1485.04","6","7","17","0.1600","0.2081","0.1300","0.4100","0.20","0.00","3","1","0.20","0.40"
"648","4000000000000648","fraud_Schmeler Inc","travel","246.63","40.7128","-74.0060","8419000","1704399120","2024-01-04 20:12:00","0","1","19","259.19","1","1","259.38","1","2","2","0.1620","0.2230","0.1400","0.4600","0.00","0.10","1","2","0.30","0.00"
"649","4000000000000649","fraud_Heathcote LLC","home","247.17","34.0522","-118.2437","3980000","1704399660","2024-01-04 20:21:00","0","2","21","510.04","4","9","1005.68","2","4","5","0.1640","0.0485","0.1500","0.0400","0.10","0.20","2","3","0.40","0.10"
"650","4000000000000650","fraud_Kilback LLC","health_fitness","245.50","41.8781","-87.6298","2746000","1704400200","2024-01-04 20:30:00","0","3","23","755.34","7","17","1718.50","3","6","8","0.1660","0.0634","0.1600","0.0900","0.20","0.30","3","1","0.00","0.20"
"651","4000000000000651","fraud_Ruecker Group","home","246.04","29.7604","-95.3698","2328000","1704400740","2024-01-04 20:39:00","0","4","4","984.16","2","17","496.33","4","1","11","0.1680","0.0783","0.1700","0.1400","0.00","0.00","1","2","0.10","0.30"
"652","4000000000000652","fraud_Stokes and Sons","health_fitness","246.58","39.9526","-75.1652","1600000","1704401280","2024-01-04 20:48:00","0","5","6","1236.04","5","7","1241.40","5","3","14","0.1700","0.0932","0.1800","0.1900","0.10","0.10","2","3","0.20","0.40"
"653","4000000000000653","fraud_Bahringer Group","home","247.12","33.4484","-112.0740","1625000","1704401820","2024-01-04 20:57:00","0","6","8","1489.00","8","15","1989.71","6","5","17","0.1720","0.1081","0.1900","0.2400","0.20","0.20","3","1","0.30","0.00"
"654","4000000000000654","fraud_Haley Ltd","health_fitness","247.66","32.7767","-96.7970","1304000","1704402360","2024-01-04 21:06:00","0","7","10","1743.04","3","15","759.98","1","7","2","0.1740","0.1230","0.2000","0.2900","0.00","0.30","1","2","0.40","0.10"
"655","4000000000000655","fraud_McDermott PLC","home","248.20","47.6062","-122.3321","737000","1704402900","2024-01-04 21:15:00","0","8","12","1998.16","6","23","1489.20","2","2","5","0.1760","0.1379","0.2100","0.3400","0.10","0.00","2","3","0.00","0.20"
"656","4000000000000656","fraud_Lynch-Wisozk","health_fitness","248.74","40.7128","-74.0060","8419000","1704403440","2024-01-04 21:24:00","0","9","14","2254.36","1","5","252.99","3","4","8","0.1780","0.1528","0.2200","0.3900","0.20","0.10","3","1","0.10","0.30"
"657","4000000000000657","fraud_Huels-Nolan","home","249.28","34.0522","-118.2437","3980000","1704403980","2024-01-04 21:33:00","0","1","7","268.12","4","13","1005.62","4","6","11","0.1800","0.1677","0.2300","0.4400","0.00","0.20","1","2","0.20","0.40"
"658","4000000000000658","fraud_Schmeler Inc","health_fitness","249.82","41.8781","-87.6298","2746000","1704404520","2024-01-04 21:42:00","0","2","9","499.64","7","21","1761.49","5","1","14","0.1820","0.1826","0.2400","0.0200","0.10","0.30","2","3","0.30","0.00"
